Temperature: loadcase=1,period=1
   6            4.064
   7            4.064
   8            4.064
   9            0.066
  10            0.057
  11            0.065
  12            0.057
  13            0.061
  14            0.062
  15            0.061
  16            0.061
Temperature: loadcase=1,period=90
   1            4.060
   2            4.060
   3            4.060
   4            4.060
   5            4.060
   6            4.060
   7            4.060
   8            4.060
   9            0.057
  10            0.060
  11            0.057
  12            0.059
  13            0.056
  14            0.061
  15            0.056
  16            0.061
Temperature: loadcase=1,period=91
   1            4.056
   2            4.056
   3            4.056
   4            4.056
   5            4.056
   6            4.056
   7            4.056
   8            4.056
   9            0.056
  10            0.052
  11            0.056
  12            0.052
  13            0.054
  14            0.054
  15            0.054
  16            0.054
Temperature: loadcase=1,period=92
   1            4.053
   2            4.053
   3            4.053
   4            4.053
   5            4.053
   6            4.053
   7            4.053
   8            4.053
   9            0.052
  10            0.051
  11            0.052
  12            0.051
  13            0.052
  14            0.051
  15            0.051
  16            0.052
Temperature: loadcase=1,period=93
   1            4.050
   2            4.050
   3            4.050
   4            4.050
   5            4.050
   6            4.050
   7            4.050
   8            4.050
   9            0.049
  10            0.046
  11            0.049
  12            0.046
  13            0.045
  14            0.051
  15            0.045
  16            0.051
Temperature: loadcase=1,period=94
   1            4.047
   2            4.047
   3            4.047
   4            4.047
   5            4.047
   6            4.047
   7            4.047
   8            4.047
   9            0.046
  10            0.045
  11            0.047
  12            0.044
  13            0.047
  14            0.044
  15            0.047
  16            0.044
Temperature: loadcase=1,period=95
   1            4.044
   2            4.044
   3            4.044
   4            4.044
   5            4.044
   6            4.044
   7            4.044
   8            4.044
   9            0.043
  10            0.042
  11            0.043
  12            0.042
  13            0.040
  14            0.044
  15            0.040
  16            0.044
Temperature: loadcase=1,period=96
   1            4.041
   2            4.041
   3            4.041
   4            4.041
   5            4.041
   6            4.041
   7            4.041
   8            4.041
   9            0.042
  10            0.039
  11            0.041
  12            0.039
  13            0.041
  14            0.040
  15            0.041
  16            0.039
Temperature: loadcase=1,period=97
   1            4.039
   2            4.039
   3            4.039
   4            4.039
   5            4.039
   6            4.039
   7            4.039
   8            4.039
   9            0.034
  10            0.041
  11            0.034
  12            0.041
  13            0.037
  14            0.037
  15            0.037
  16            0.037
Temperature: loadcase=1,period=98
   1            4.036
   2            4.036
   3            4.036
   4            4.036
   5            4.036
   6            4.036
   7            4.036
   8            4.036
   9            0.038
  10            0.033
  11            0.038
  12            0.033
  13            0.034
  14            0.037
  15            0.034
  16            0.037
Temperature: loadcase=1,period=99
   1            4.034
   2            4.034
   3            4.034
   4            4.034
   5            4.034
   6            4.034
   7            4.034
   8            4.034
   9            0.030
  10            0.036
  11            0.029
  12            0.036
  13            0.034
  14            0.032
  15            0.034
  16            0.032
Temperature: loadcase=1,period=100
   1            4.032
   2            4.032
   3            4.032
   4            4.032
   5            4.032
   6            4.032
   7            4.032
   8            4.032
   9            0.034
  10            0.028
  11            0.035
  12            0.028
  13            0.031
  14            0.032
  15            0.031
  16            0.032
